irn,year,falladm,pctmin,Avgtchpy,Tadmprtc,Ptaxrate,Agy,Percapy,Pctag,Pctres,Persex,Agehet,racehet,inchet,localxpa,math,agvalpera,resvalpera,cl2valpera_ch1,salestax,disadv,dum90,dum91,dum92,dum93,dum94,dum95,dum96,dum97,dum98,dum99,dum00,dum01,dum02,dum03,dum04,dum05,dum06,dum07,dum08,dum09,dum10,countynum
43844,2004,16.71,75.3,54.756243,14.8,28.94949992,23.74535497,19352.84072,0.055174804,68.17268171,122.697,0.552661481,0.060362729,0.641122587,2.358109532,15.6,0.065925485,81.39004226,1.206772627,1,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,57
43844,1990,27.662,62.96,48.196785,16.02,34.50099986,24.92821066,18716.69958,0.041280684,56.99483764,133.187,0.647288878,0.179496403,1.073884632,.,16,0.028385342,25.31499132,-3.215412117,1,0.251462261,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57
43901,1992,7.474,99.95,58.64814,18.78,49.17919213,2.615053283,15438.97322,0,69.96340299,16.938,0.640804684,0.036101831,1.060303824,1.165647923,16,0,23.70205512,-1.023139233,1,0.290348733,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
47944,1990,2.058,0.68,40.989312,16.76,21.99996518,0.865521624,13701.46627,23.64211668,85.73103527,6.317,0.653291961,0.002924806,1.340343876,0.427457599,16,5.358205136,9.096132167,-0.078701536,1,0.294273419,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
47944,1991,2.02,0.45,41.004684,17.67,21.99998247,0.814047532,13375.73993,23.70414052,85.94867309,6.086,0.645583889,0.005227413,1.311867014,.,16,5.322704871,13.97685255,0.546008586,1,0.299059639,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
49064,1990,1.026,0.78,38.823512,16.55,25.81371489,0.456146409,13511.44576,18.9700463,81.51488885,3.376,0.651600667,0.009937888,1.121248419,.,16,4.972866179,10.59838207,-0.152243541,1,0.254349627,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
43901,1994,7.176,99.87,58.742611,20.1,45.63809469,2.679388289,15872.21308,0,72.75869875,16.881,0.637250405,0.038031833,1.006944682,.,16.2,0,25.64590809,-0.492836026,1,0.324680913,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
43844,1991,27.858,63.19,46.057084,15.94,34.50099926,24.49648104,18382.05731,0.066886709,58.66773391,133.263,0.640529778,0.170986855,1.042973057,1.290673893,17,0.042650622,37.36710333,-1.739564463,1,0.257653637,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57
46136,1990,1.073,4.66,42.154203,17.28,21.92996911,0.572674586,16054.79636,4.474095615,74.77962024,3.567,0.645709085,0.025804107,1.01786939,0.594816454,18,1.622807325,16.4839329,-2.234954416,0,0.134464514,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
48694,1990,4.228,60.24,43.9348,17.65,31.33369977,3.561815925,20531.56517,2.204879787,64.00148724,17.348,0.630843172,0.213320129,0.979473622,1.282578257,18,1.410155629,25.54797304,-3.011798044,1,0.124105312,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57
49635,1996,1.978,0.7,41.422944,17.24,22.09008505,1.019695568,14894.76436,29.87120956,90.8146172,6.846,0.626658492,0.03851106,1.181029303,0.516805356,18.2,7.695319747,15.70003409,-0.189799464,1,0.265551701,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73
43786,1992,71.639,77.24,54.325335,18.26,23.27059998,50.28438054,16471.72258,0.000841766,47.70089343,305.277,0.649930818,0.250419957,1.046755782,.,19,0.000603618,34.2050265,0.039572353,1,0.303818403,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
43786,1993,70.902,77.61,56.456766,17.3,23.2653997,53.06728349,16496.35317,0.000837331,47.40910646,321.691,0.646528339,0.238914583,1.012565636,.,19,0.000597737,33.8428492,-2.777863272,1,0.312781214,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
43786,2004,62.542,82.6,68.694048,24.3,25.04389991,60.19377019,18379.8894,0.003561346,55.10139403,327.498,0.609101067,0.112355467,0.636474031,1.282730132,19,0.003310434,51.21595399,1.549951144,1,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18
49064,1991,1.039,0.77,38.15305,17.03,25.81382765,0.444975092,12474.77128,18.60756974,81.27982375,3.567,0.648065361,0.010846527,1.083475387,0.526044,19,4.665267681,15.71311274,-0.076594477,1,0.238793123,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
47613,2004,0.835,1,42.045615,20.5,22.44538159,0.69141163,18156.81802,40.82490381,98.11710682,3.808,0.581814577,0,0.6409797,1.688390159,19.7,31.29869684,43.92346646,-0.054314298,1,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,36
43844,1992,27.66,63.95,48.26526,16.08,44.9009986,24.62079095,18442.26375,0.071559722,60.03254855,133.502,0.633770679,0.162477307,1.012061483,1.660184721,20,0.044073981,36.93026451,-1.366783398,1,0.263845012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57
44578,1990,3.617,1.58,52.362856,20.48,26.23819409,3.169974702,17906.4266,0,63.04270068,17.703,0.634779635,0.022928107,0.94811329,1.036815909,20,0,25.5433232,-1.331033505,0.5,0.13192848,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
49130,1990,1.618,0.68,39.462423,20.48,25.13739931,0.659506892,14883.92895,33.03567316,84.67246752,4.431,0.659735014,0.00591077,1.258558815,.,20,8.91466877,9.007224969,-0.073343468,1,0.319676861,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66
50393,1990,2.444,0.08,40.966107,20.47,20.699965,1.23476851,15423.0391,36.24595458,81.81467257,8.006,0.638132072,0.006074302,1.326099292,0.631500085,20,13.51550096,10.98371113,-0.445767046,1.5,0.236837278,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82
61903,1990,5.807,0.45,40.56234,16.78,26.41168163,2.69069215,13997.98226,23.34686968,57.13675518,19.222,0.651639689,0.006267696,1.293314195,0.603780487,20,9.341058796,8.739042535,0.591345839,0,0.281918239,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
43786,1994,72.991,77.52,57.405167,17.55,21.2239998,53.12404713,16780.66048,0.001116178,50.90874889,316.579,0.64312586,0.227409208,0.97837549,0.765162092,20.3,0.000790437,36.05094813,0.057237433,1,0.321744025,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
43802,1990,64.057,49.73,50.20015,15.4,25.68059974,76.08399683,21037.61211,0.066218674,50.08113081,361.657,0.630333779,0.15542853,1.03799452,.,21,0.071780201,35.04559111,-1.652806941,0.5,0.207820001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
44263,1990,12.305,47.66,45.259032,16.68,35.40329902,9.674990536,17861.41107,0.112495223,74.31437395,54.167,0.660855228,0.412747005,1.065015484,.,21,0.047792934,20.37765461,-0.305737647,0.5,0.206059263,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
44263,1991,12.193,47.96,50.908874,16.17,32.34909789,9.427475093,17609.59932,0.120711678,76.27309558,53.536,0.657784024,0.416817132,1.036039423,1.102987735,21,0.053961799,34.04243678,0.062765126,1,0.213431989,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
45161,1993,13.996,64.97,48.422682,15.37,38.1566975,9.747776876,15767.23368,0.720385592,73.37002649,61.823,0.627212674,0.193477117,1.029240632,1.131980624,21,0.291282609,29.37534732,0.014906551,1,0.307171583,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
45161,2004,8.843,76.4,54.778302,17.1,32.64509995,8.636004227,16377.16041,0.633916988,71.39303076,52.732,0.586342004,0.06422464,0.526210999,1.445458392,21,0.393155326,43.88480351,2.229493392,1,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,50
46078,1990,0.643,6.69,37.378614,16.83,25.48450687,0.663522826,15847.21343,22.16562091,77.9611842,4.187,0.635010532,0.011550802,1.086558719,1.636013851,21,18.2520738,29.69898911,-7.342318488,0.5,0.209305945,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
48694,1991,4.271,64.97,44.397222,17.34,33.57369667,3.484985849,20564.02814,2.338625902,66.17113508,16.947,0.627526103,0.207172399,0.95255989,1.314192514,21,1.383413463,37.76010199,1.805206378,1,0.137870496,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57
48736,1990,2.315,11.1,52.955357,17.78,24.50909519,1.895864125,21816.61824,0.140099793,39.29049832,8.69,0.645675612,0.061491823,1.007128701,0.7453867,21,0.108443698,19.58901944,-1.623557986,1,0.250039981,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57
49155,1990,0.912,0.33,38.39654,19.2,22.52648142,0.273332407,12367.9822,49.16644163,97.79837683,2.21,0.638494159,0.00789092,1.260543688,0.467728326,21,10.43848428,6.674210526,0.012676456,1,0.324049899,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66
43786,1995,73.02,78.78,56.371364,16.78,21.27409979,54.04450807,16850.15342,0.001106486,50.27586096,320.736,0.639723381,0.215903834,0.944185344,0.749024066,21.6,0.000774874,35.2074865,1.588236063,1,0.330706836,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
43752,1990,50.832,63.11,50.116612,16.38,24.9643995,63.76964964,24244.52609,0.034699806,55.21769957,263.027,0.654512057,0.17207313,1.173771957,1.494937844,22,0.037631432,38.68465199,-2.386809515,0.5,0.226124031,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
43844,1993,28.183,63.14,47.50006,16.43,42.75969923,25.81668516,18633.61349,0.053187875,61.66120305,138.549,0.627011579,0.153967759,0.981149908,1.598892393,22,0.032254123,37.36025382,-0.695688361,1,0.270036388,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57
44909,1990,40.944,43.33,50.608558,17.34,30.81609966,42.35632615,19618.03856,0.114165158,65.74480172,215.905,0.663247576,0.191538411,1.103736431,1.24967056,22,0.070419029,26.16813379,-0.025990462,1,0.216231834,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
45161,1990,14.988,64.21,45.005324,15.94,41.67539985,9.950449789,15820.73263,0.649591956,71.49591943,62.895,0.63835922,0.228727792,1.166430532,1.140508203,22,0.248644021,17.52929344,-0.706448998,0.5,0.283221142,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
44263,1992,11.972,42.66,53.510535,16.65,41.72139755,9.46940481,17712.40285,0.105321938,76.1363827,53.462,0.65471282,0.420887259,1.007063363,1.420219278,23,0.0470894,33.9934596,0.419092739,0.5,0.220804714,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
47761,1990,1.311,0.99,41.659163,19.03,22.03583601,0.642791959,15064.25964,31.78674069,84.62292215,4.267,0.635003352,0.008313945,1.17813872,0.61956111,23,10.56118374,11.34769642,0.078447132,1,0.265056412,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
48686,1991,1.026,78.95,43.615586,14.66,37.40979889,0.836975309,19975.54436,11.00562695,90.21066689,4.19,0.581175464,0.163433507,1.007140314,2.192716109,23,7.150788421,51.4626277,-0.1025742,1,0.20481697,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57
49155,1991,0.905,0.44,39.32699,19.46,22.55731969,0.267834485,12124.69377,48.58437075,97.69097491,2.209,0.637951408,0.012152967,1.22821961,0.458190449,23,10.10184442,10.21042915,0.001044128,1,0.293468676,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66
43901,1998,6.299,100,54.361161,18.3,42.74379722,2.765918634,16666.17639,0,75.54351307,16.596,0.630141846,0.041891837,0.900226396,1.245747395,23.7,0,29.14451864,1.03544238,1,0.393345274,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18
43752,1991,51.148,63.88,51.403712,15.85,34.60309951,62.07266194,23638.62369,0.02730726,55.54577299,262.59,0.648766856,0.165896558,1.134949519,1.99662691,24,0.028366714,57.67244443,0.036570578,0.5,0.234149873,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
44222,1990,6.789,40.93,42.983395,16.86,31.72149649,4.782868919,16794.37101,0,68.35497424,28.479,0.679793783,0.118490913,1.123567278,0.811440124,24,0,16.53531595,0.614110017,1,0.221315977,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
44412,1990,4.402,42.84,52.970827,18.43,31.74439909,3.897609478,18930.5429,0.130371594,85.85029935,20.589,0.649499686,0.118515242,0.943735484,1.726370819,24,0.082586324,35.1007701,0.453544085,0.5,0.089880908,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
44818,1990,11.96,27.72,42.137186,18.26,24.36899906,9.394619419,18621.27494,0.008550949,69.45496708,50.451,0.656329783,0.088628146,1.147964075,0.819286544,24,0.00413913,21.72973077,-0.264338002,1,0.212600107,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
45161,1991,15.072,65.01,43.06428,15.74,41.67539665,9.640482464,15501.41092,0.652596861,71.90636949,62.191,0.634643705,0.216977567,1.120700565,1.08845783,24,0.237033367,25.88048243,0.227456239,1,0.291204622,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
45161,1992,14.419,64.23,47.13618,15.08,41.67539908,9.365810396,15548.26833,0.639335353,71.89220909,60.237,0.630928189,0.205227342,1.074970599,1.111940889,24,0.237273275,26.44371632,0.336132332,1,0.299188102,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
46342,1990,2.741,1.31,41.380703,19.17,22.25862428,2.109239808,17779.98658,6.369274048,89.95573443,11.863,0.642372095,0.007518684,0.941964925,0.835733874,24,2.658463907,22.55207224,0.048263434,1,0.081632653,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
47308,1990,2.262,0.88,37.80868,18.65,22.71007166,1.39206399,14934.70647,16.02153735,72.48887018,9.321,0.641154189,0.007503097,1.024666252,0.71000119,24,6.909926494,15.74259063,0.105933134,1,0.158558397,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
47928,1990,1.362,0.59,41.034175,18.21,21.9999903,0.587141975,14147.99941,21.09869888,92.31237631,4.15,0.648050486,0.01347548,1.173908981,0.515197569,24,5.352381476,11.67789281,-0.147096516,1,0.260270037,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
47951,1990,2.452,7.63,44.46078,20.35,21.99999286,1.40915868,16769.70939,4.881949471,76.05133612,8.403,0.627927688,0.035448904,1.156356985,0.66096963,24,1.928614364,18.17418842,-0.176096686,1,0.19949131,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
49122,1993,1.066,0.37,42.027072,20.3,22.73933415,0.493926472,14250.6195,39.07178624,95.01705687,3.466,0.6397557,0.023150358,1.143791879,0.54910364,24,9.929749006,14.21799587,0.226764514,1,0.270138825,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66
43901,1999,5.916,100,61.008906,16.2,42.77709743,2.754210668,16469.59677,0,74.50961043,16.723,0.628364706,0.042856838,0.873546825,1.309250857,24.1,0,30.60635096,0.79726709,1,0.410511364,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18
43695,2004,2.665,10.4,53.880849,16.7,28.91819842,2.70353633,19172.65676,4.255063569,74.79795766,14.101,0.578335487,0.049512646,0.692049255,1.598730981,24.4,3.144998702,52.1395995,0.92700767,1.5,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,30
43802,1991,64.28,50.38,50.705292,15.43,34.63059966,74.45262803,20721.28916,0.080674013,49.87557458,359.305,0.62687178,0.154074866,1.003359256,1.807654063,25,0.08443083,52.11374305,-0.011896559,0.5,0.213197343,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
44669,1990,3.955,8.5,45.86855,18.52,26.88679764,2.922110711,19284.04085,0.59707858,69.63891648,15.153,0.632763802,0.040972964,1.354309675,0.889531258,25,0.283662301,21.20274842,-0.670362813,1,0.275734366,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73
44990,1991,7.575,39.04,45.53847,15.39,41.21499494,7.296613995,19272.11113,0.15055698,71.22688911,37.861,0.630461736,0.103649172,1.060939018,1.415986742,25,0.072620771,34.2834854,-0.014869502,0,0.212218487,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78
46797,1990,0.016,0,38.192336,6.4,20.43774716,0.056226829,24340.61855,9.747217896,95.18535675,0.231,0.503829289,0,1.076333549,19.04357,25,95.41702625,540.638125,4.46356,1,0.119496855,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
49130,1991,1.588,0.63,41.309314,19.58,25.13667359,0.662295132,14416.52442,32.74423588,84.75707717,4.594,0.655820469,0.01011731,1.219579948,0.567857869,25,8.727517557,13.86329451,0.01452419,1,0.303595655,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66
49619,1990,0.835,0.12,36.625225,20.37,26.93367101,0.389007367,14679.52328,19.8631949,76.8374853,2.65,0.610234932,0.013570103,1.2010097,0.742031982,25,7.122017461,13.20512575,0.66506585,1,0.224859963,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73
43844,1994,27.787,64.76,49.302159,16.08,42.75969986,26.02620964,19124.26309,0.056757839,62.26683459,136.09,0.620252479,0.14545821,0.950238334,1.59142264,25.05,0.033925007,37.18389095,0.101770805,1,0.276227763,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57
46078,2004,1.308,5,47.892411,18.1,23.10046213,1.151206686,18511.12215,19.83547271,83.55806258,6.219,0.593951436,0.042127294,0.573756075,1.352647548,25.6,13.90010801,44.65489149,0.730395646,1.25,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8
48694,2004,3.166,88.6,51.679593,19.3,38.26239823,3.802417466,20028.53551,2.280730082,73.03375518,18.985,0.58440421,0.127251906,0.602681374,2.577297153,25.7,2.10350024,65.25498411,-0.012854212,1,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,57
44909,2004,31.359,57.1,56.046114,19.7,28.38099973,38.66715059,20032.40577,0.104559487,73.03529779,193.023,0.600306075,0.172849095,0.495925389,2.066886734,25.8,0.104260458,72.72216406,0.659299403,1.25,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,48
43703,1991,1.543,33.96,46.767392,17.84,35.60217521,1.258947373,16694.70061,0.15914449,86.64720447,7.541,0.59111003,0.204227541,1.074425073,1.208364543,26,0.062338808,33.87841161,0.02075965,1,0.204663302,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
43901,1993,7.689,99.96,61.423524,21.84,49.18119949,2.701347207,15416.88852,0,71.07645881,17.522,0.639027545,0.037066832,1.033624253,1.106159457,26,0,22.49151035,0.449388453,1,0.307514823,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
44040,1990,2.847,12.26,52.840879,17.4,32.4660967,4.853123604,19595.91215,0,81.47725011,24.766,0.595721773,0.054434103,0.891636767,3.293897722,26,0,65.58276431,1.300713021,1,0.056067615,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
44297,1990,6.91,30.69,46.252206,15.97,34.88779583,6.600193788,19764.01793,0.220186628,63.78931145,33.395,0.644684612,0.099067388,1.150228865,1.271751536,26,0.125826398,23.48208973,-0.387021525,0.75,0.205808112,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
44909,1991,40.396,44.17,48.994906,17.29,36.06949944,39.9889223,18959.28423,0.117385861,66.61975135,210.92,0.658751755,0.19020346,1.060321357,1.519154508,26,0.074212082,42.04321488,-0.474010853,1,0.223213579,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
45401,1990,2.291,2.71,41.855632,19.82,22.84905685,1.147104878,14274.57539,25.34725885,87.04481575,8.036,0.640323821,0.010899481,1.104379013,0.737123554,26,9.394206456,14.78109996,-0.073646833,0.5,0.170185305,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
46136,1991,1.044,4.69,45.459712,17.72,21.92999875,0.547154146,15296.45361,3.7757167,78.73156274,3.577,0.642194309,0.029215316,0.991599259,0.561182776,26,1.227202567,24.36252876,-0.005236801,0,0.135187253,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
46904,1990,0.701,0.71,43.292795,18.69,27.44997301,0.578903937,18746.88917,8.697235223,92.04014678,3.088,0.588290495,0.005677291,1.153172472,2.168366564,26,7.464396377,46.23723253,-0.209791703,0.5,0.086468976,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
48132,1991,1.106,26.04,42.606592,15.87,29.64997841,0.543829057,16204.6799,0.151509919,69.43415344,3.356,0.61751137,0.311249563,1.076503083,1.11328809,26,0.081931537,37.46575485,0.97768126,1,0.193612292,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
49601,1990,0.673,0.3,40.203436,17.39,22.09186764,0.453338233,17382.60094,7.98215615,82.04648012,2.608,0.614370208,0.009730849,1.091193579,0.921281025,26,4.057139673,24.33427935,0.211180344,1,0.155816435,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73
49643,1990,1.305,0.08,42.195972,19.02,21.9707657,0.683927184,15883.12085,17.17492961,93.31288789,4.306,0.559560671,0.068710056,1.460179419,0.511772494,26,4.287311939,12.2857318,0.160265842,1,0.237424547,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73
49650,1992,1.768,0.68,40.26276,21.2,22.15217861,0.859142915,15350.06101,10.68692595,94.72618278,5.597,0.630358019,0.01716507,1.283422702,0.579222497,26,2.949930204,23.19749788,0.016865984,1,0.30857346,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73
44305,2004,3.658,90.7,51.752736,19.6,36.59999992,4.488122828,20640.74148,0,77.5641465,21.744,0.596798845,0.23090792,0.533327118,3.357840518,26.6,0,91.74427667,-1.928235918,1,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18
